OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious
162,7D1640C2-EEFC-4D41-8186-4695E89D1AFE,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,26:59.0,,S-P21-GIBI-027,3976,,1.05,388,28:24.0,,,2,2,1,2,5,5,35,4,66
163,1F0A6566-AA74-46E7-8F51-471521C84F1B,willow oak,Quercus,phellos,NA,QUPH                ,189796,53:35.0,26:57.7,S-O18-QUPH-053,3343,,11.2,54,55:25.0,,,2,2,1,2,1,4,15,4,82
165,17371071-FEB0-491E-8374-4898A9AEEBC6,American elm,Ulmus,americana,NA,ULAM                ,189796,08:59.0,53:01.9,S-Q21-ULAM-008,3358,,3.5,223,10:29.0,02:08.6,,2,1,1,2,1,5,35,5,64
166,51B88AE0-56F7-4D96-A5AA-4906371676C4,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,31:33.0,03:40.3,S-Q21-ZESE-063,18056,,12.7,271,32:30.0,,,2,2,1,2,5,4,35,4,79
167,F4DDABFB-6CE4-4861-8C39-4948998B62F1,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,47:21.0,14:05.8,S-O18-PRUN-028,6898,"DBH taken at 2'8""",10.3,18,50:20.0,,,2,2,2,2,20,2,25,4,79
168,AF1F1D58-2886-4008-AB53-4AC09DAEBB3F,American elm,Ulmus,americana,NA,ULAM                ,189796,49:17.0,53:14.2,S-Q21-ULAM-005,3358,,4.9,219,50:30.0,,,2,1,2,2,1,5,15,5,77
170,1D7465CF-8C39-4749-BD74-4B8F6D6BF7A7,European hornbeam,Carpinus,betulus,NA,CABE8               ,189796,00:21.0,32:28.5,S-R21-CACA-034,10632,Protection at base; root diaper.,0.96,343,01:29.0,,Protection at base; root diaper.,2,1,2,2,5,3,55,5,40
174,00E22697-E5DA-40C4-B77A-4D8B18594005,sweetbay,Magnolia,virginiana,NA,MAVI2               ,189796,01:24.0,,S-O21-MAVI-072,3302,,1.05,322,02:59.0,,,2,1,1,2,1,5,45,5,41
175,D953E7D1-B13F-4068-8947-4DD5DC3FC006,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,32:31.0,,S-O21-ACBU-040,20243,,1.75,72,34:30.0,,Exposed heartwood at base,2,1,1,2,1,5,35,5,11
176,90E86612-D2F7-4D86-B874-4E3951AFA109,willow oak,Quercus,phellos,NA,QUPH                ,189796,42:25.0,,O21-QUPH-004,3343,We could not measure DBH because the tree is on private property; some trunk sprout; ornamental metal sculpture nailed in the bark. ,16.01,309,44:27.0,,We could not measure DBH because the tree is on private property; some trunk sprout; ornamental metal sculpture nailed in the bark. ,2,1,1,1,1,5,25,5,46
177,DC2FD8FF-EC7A-4AE3-B18A-4F513881321E,ginkgo,Ginkgo,biloba,NA,GIBI2               ,189796,17:06.0,,S-P21-GIBI-024,3976,,1.3,385,18:21.0,,,2,2,1,2,1,5,25,4,79
178,BD9DEFFE-9D1D-4603-8C12-4F537DC042E7,plum/cherry,Prunus,spp.,NA,PRUNU               ,203642,43:26.0,,S-O21-PRYE-043,6898,,0.75,75,44:28.0,,,2,1,2,2,1,5,45,5,11
179,9D6F7927-58DE-481D-889F-4F9097CE2E98,plum/cherry,Prunus,spp.,NA,PRUNU               ,179696,08:15.0,,S-O21-PRYE-020,6898,,1.4,128,10:12.0,,Protection at base; some oozing,2,1,2,1,1,5,55,5,19
180,7BA1F22A-B7D1-4E67-A3BE-9F523F9E16BE,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,42:34.0,24:16.0,S-U16-LAUN-012,6931,"Multistemmed dbh other: 5.85, 6.1, 6.1, 5.7, 5.4",6.8,298,45:01.0,,,2,2,1,1,1,3,35,4,16
181,E855947F-0147-4D81-A67C-52D68437F26C,red maple,Acer,rubrum,NA,ACRU                ,189796,40:01.0,19:49.6,S-Q21-ACRU-030,3247,,6.9,244,41:39.0,,,2,1,1,2,1,3,35,5,84
182,EDA7301A-385F-486B-8C51-5308167CF396,sweetgum,Liquidambar,styraciflua,NA,LIST2               ,189796,17:56.0,25:45.0,S-M19-LYST-018,3296,"Multistemmed, second dbh 14.1",15,460,19:46.0,,"Large branch dieback, some browning",2,2,1,2,5,3,55,4,11
184,0CC1D849-8637-426D-B966-53FE47FDD37F,Chinese elm,Ulmus,parvifolia,NA,ULPA                ,189796,13:40.0,56:44.1,S-Q21-ULPA-073,6567,,8,281,15:44.0,,Broken branches,2,1,1,2,1,4,35,5,55
185,606DECA8-CB35-48E3-BF88-540904C7BC36,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,34:08.0,23:50.7,S-U16-LAUN-007,6931,"Multistemmed dbhs: 5.3, 4.2, 5.2, 3.6, 3.3",7,293,36:22.0,,,2,1,1,1,5,4,35,5,16
186,E032957E-D712-41B6-BD6D-556B05223512,American elm,Ulmus,americana,NA,ULAM                ,189796,45:35.0,16:15.1,S-Q21-ULAM-004,3358,,4.3,218,47:11.0,,,2,2,2,2,1,5,25,4,68
187,BB3091F0-A02C-402D-8E52-557800A9924B,plum/cherry,Prunus,spp.,NA,PRUNU               ,189796,31:25.0,28:21.1,S-P21-PRUN-069,6898,,0.56,426,32:14.0,,Same species as S-P21-PRUN-067.,2,2,2,2,1,5,55,4,61
189,E2892D51-CBFA-4298-B1D7-569DB7BAEB76,Japanese maple,Acer,palmatum,NA,ACPA2               ,189796,05:44.0,,S-O21-ACPA-059,3001,"Multistemmed other dbh: 2.1, 1.8, 2.25, 1.75, 2",2.8,312,08:33.0,11:28.0,,2,1,1,1,1,3,35,5,37
191,A07D8BF0-FE3C-4BF2-B76C-594093ADC8DF,hawthorn,Crataegus,spp.,NA,CRATA               ,189796,48:23.0,,S-R21-CRVI-044,3959,,1.26,581,47:21.0,47:21.0,,2,1,2,2,5,5,45,5,25
192,14EA9ADB-C8D4-4461-9B17-5ABFB742DB6E,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,35:24.0,21:33.6,S-U16-LAUN-019,6931,"Multistemmed other dbh: 5.3, 5.2, 4.7, 4.15, 6",6.9,305,39:41.0,,,2,1,1,1,1,5,45,5,6
193,36E7BD6A-9FA3-4EF1-95BD-5B147A5E7E27,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,22:09.0,03:53.8,S-Q21-ZESE-061,18056,,10.75,269,23:57.0,,Trunk damage,2,2,1,1,10,3,35,4,72
195,E79C70DA-FB10-4DD8-BCDF-5D210AAD9DA0,serviceberry,Amelanchier,spp.,NA,AMELA               ,179696,31:50.0,09:33.5,S-O21-AMUN-025,47898,Multistemmed ,1.41,132,32:55.0,,Significant yellowing of the leaves; planted in gardenscaped area; we suspect this could be an Amelanchier arborea (Alabama serviceberry).,2,3,2,3,5,5,45,3,18
196,7022305B-1B12-4412-8B5F-5D7B4E477A6F,unknown plant,,,NA,,189796,25:34.0,13:17.0,S-U16-QUUN-002,59419,,18.8,288,34:04.0,37:15.0,"Mulching present. Probably a post oak (Quercus stellata, unlisted), but we are not sure.",2,2,1,2,15,4,45,4,10
197,ED04ABB6-22E3-47FB-8AE0-5DD2D1C3DF61,willow oak,Quercus,phellos,NA,QUPH                ,189796,44:43.0,27:09.8,S-O18-QUPH-038,3343,,14.1,39,47:07.0,,World branching,2,3,NA,2,10,3,45,3,79
198,B45F7706-836E-4123-AD26-5DD8A0172F27,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,54:31.0,02:36.0,S-R21-CACA-047,3258,,1,355,55:10.0,,Mulch volcano; some chlorotism.,2,2,1,2,1,5,45,4,34
199,CCEAC738-8435-4265-8E39-5E18858072BB,chinaberry,Melia,azedarach,NA,MEAZ                ,179696,54:38.0,,S-O21-MEAZ-035,3049,Multistemmed (second DBH is 6.5),7.8,142,56:13.0,,,2,1,1,1,1,3,45,5,14
