Tree Name,Date,Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,Tree ID in City Inventory (if applicable),Tree Not in City Inventory,ID Notes,Multi-stemmed,DBH (in),Esimated DBH,Height Measured (DBH),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Land Use Type,Site type,Ground Cover,Street,Sidewalk,Powerline,Mulch,Pruned,Mowing,Protection at tree base,Stake,Tree diaper,Other Cues to Care,Root Pan above soil,Root Decay,Fungal Conch,Damage to road/sidewalk,Broken Branches,TrunkDamage,Other Notable Damage,Other notes,In HTHC,To Update,Removed
S-Q21-ULAM-006,7/20/2022,Q21,6,Ulmus,americana,ULAM,FALSE,,2944918,FALSE,,FALSE,4.9,,,,,,,,4.9,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"trunk sprout, resprout, yellowing on edges of leaves",,FALSE,FALSE,FALSE
S-O21-MAUN-006,7/27/2022,O21,6,Malus,unknown,MAUN,FALSE,,,TRUE,,FALSE,5.8,,1'10'',,,,,,5.8,SFR-D,SY,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"surrounded by other plants in planter boxes, outside the house's fence",FALSE,FALSE,FALSE
S-U16-ULAL-006,7/23/2022,U16,6,Ulmus,alata,ULAL,FALSE,,2947118,FALSE,"marked in inventory as ulmus parvifolia, but likely ulmus pumila (bark and leaves most similar)",FALSE,6.4,,,,,,,,6.4,SFR-D,M,Penetrable soils - grass,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,large decorative rocks ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"spotting disease throughout canopy, some trunk sprouts, consistent defoliation",,FALSE,FALSE,FALSE
S-R21-MORU-006,7/28/2022,R21,6,Morus,rubra,MORU,FALSE,,2927113,FALSE,,FALSE,13,,,,,,,,13,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"large gash in trunk, suggesting decay. a lot of vines and shrubs growing up tree",,FALSE,FALSE,FALSE
S-M19-NYSY-006,8/4/2022,M19,6,Nyssa,sylvatica,NYSY,FALSE,,2910183,FALSE,,FALSE,15.4,,,,,,,,15.4,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,brick circle around base,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,broken root,,FALSE,FALSE,FALSE
S-S18-QUPH-006,8/3/2022,S18,6,Quercus,phellos,QUPH,FALSE,,3299520,FALSE,,FALSE,39,,,,,,,,39,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,oozing from a pruning scar; trunk sprout; resprout from pruning scars ,We could not measure compaction nor DBH because the homeowner asked for us not to step on their property; we used the DBH reported on the city inventory ,FALSE,FALSE,FALSE
S-P21-LAUN-007,7/30/2022,P21,7,Lagerstroemia,unknown,LAUN,FALSE,,2944413,FALSE,,FALSE,1.25,,,,,,,,1.25,COMM,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,some elongated pruning scars ,bark peeling starting,FALSE,FALSE,FALSE
S-S18-QURU-007,8/3/2022,S18,7,Quercus,rubra,QURU,FALSE,,3299523,FALSE,,FALSE,2.05,,,,,,,,2.05,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,weed mat present; tree maintained with two belts anchored to the ground,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,large gash on the trunk shows significant damage; trunk sprout ,we ignored the weed mat when measuring DBH,FALSE,FALSE,FALSE
S-Q21-ULAM-007,7/20/2022,Q21,7,Ulmus,americana,ULAM,FALSE,,2944917,FALSE,,FALSE,4.4,,,,,,,,4.4,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"resprout, bunches of dead leaves ",,FALSE,FALSE,FALSE
S-O21-MAUN-007,7/27/2022,O21,7,Malus,unknown,MAUN,FALSE,,,TRUE,,FALSE,5.1,,2'6'',,,,,,5.1,SFR-D,SY,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,same as above,FALSE,FALSE,FALSE
S-O18-CECA-007,5/21/2022,O18,7,Cercis,canadensis,CECA,FALSE,,2851731,FALSE,green leaved variety,FALSE,9.2,,"1'9""",,,,,,9.2,INST,OM,Penetrable soils - shrub,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,gardenscape,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,newer branch very low,FALSE,FALSE,FALSE
S-M19-NYSY-007,8/4/2022,M19,7,Nyssa,sylvatica,NYSY,FALSE,,2910184,FALSE,,FALSE,12.9,,"2'11""",,,,,,12.9,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,brick circle around base,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"girdling root, ants on trunk",,FALSE,FALSE,FALSE
S-R21-CAIL-007,7/28/2022,R21,7,Carya,illinoinensis,CAIL,FALSE,,2927112,FALSE,,FALSE,16,,,,,,,,16,SFR-D,SP,Mixed - Penetrable & Impervious,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,lots of vines and shrubs crawling up tree,,FALSE,FALSE,FALSE
S-U16-LAUN-007,7/23/2022,U16,7,Lagerstroemia,unknown,LAUN,FALSE,,2947117,FALSE,,TRUE,7,,,5.3,4.2,5.2,3.6,3.3,28.6,SFR-D,M,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,large decorative rocks ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-S22-QUVI-007,8/3/2022,S22,7,Quercus,virginiana,QUVI,FALSE,,2589067,FALSE,,FALSE,37.1,,3'5'',,,,,,37.1,SFR-D,FY,Penetrable soils - mixed,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,resprout from pruning scars ,the tree is surrounded by paved tiles; microphone nailed into the bark; mat one the roots ,FALSE,FALSE,FALSE
S-U21-LISI-008,8/3/2022,U21,8,Ligustrum,sinense,LISI,FALSE,,,TRUE,,FALSE,0.52,,1'11'',,,,,,0.52,SFR-D,SY,Penetrable soils - shrub,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-R21-CACA-008,7/28/2022,R21,8,Carpinus,caroliniana,CACA,FALSE,,2974937,FALSE,,FALSE,0.7,,,,,,,,0.7,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,diaper,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE
S-P21-LAUN-008,7/30/2022,P21,8,Lagerstroemia,unknown,LAUN,FALSE,,2944412,FALSE,,FALSE,1.6,,"3'6""",,,,,,1.6,COMM,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"trunk sprout, elongated pruning scars",,FALSE,FALSE,FALSE
S-O21-ACBU-008,7/27/2022,O21,8,Acer,buergeranum,ACBU,FALSE,,,TRUE,,FALSE,3.1,,,,,,,,3.1,SFR-D,FY,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-Q21-ULAM-008,7/20/2022,Q21,8,Ulmus,americana,ULAM,FALSE,,2944916,FALSE,,FALSE,4.1,,,,,,,,4.1,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,resprout ,,FALSE,FALSE,FALSE
S-O18-CECA-008,5/21/2022,O18,8,Cercis,canadensis,CECA,FALSE,,2942013,FALSE,green leaved variety,FALSE,10.1,,"1'3""",,,,,,10.1,INST,OM,Penetrable soils - shrub,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,gardenscape,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"gashes in tree trunk revealing heartwood, is why DBH was measured low",,FALSE,FALSE,FALSE
S-U16-ULAL-008,7/23/2022,U16,8,Ulmus,alata,ULAL,FALSE,,2947116,FALSE,"marked in inventory as ulmus alata, but bark is very different",FALSE,15.8,,,,,,,,15.8,SFR-D,M,Penetrable soils - grass,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,large decorative rocks ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"large branch dieback, leaf spotting and light discoloration ",,FALSE,FALSE,FALSE
