PLANTS,SUB_NAME,SUB_GENUS,SUB_SPECIES,Genus,Species,City parkway,Sidewalk cut out,Median,Private property,Under wires,Salt tolerant,Spring planting best,Promotes Diversity,Hardiness,Ease of transplant,Native to Illinois,Height_low,Height_height,DroughtTol,SaltTol,StreetUrban
BEPA,paper birch,Betula,papyrifera,Betula,papyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50,70,0,0,0
,,Carpinus,betulus,Carpinus,betulus,,,,,,,,,,,,40,60,0,0,0
CACA,American hornbeam,Carpinus,caroliniana,Carpinus,caroliniana,1,0,1,1,0,1,1,AV,GD,DIF,Y,20,30,0,0,0
CASP8,northern catalpa,Catalpa,speciosa,Catalpa,speciosa,1,1,1,1,0,1,0,1,GD,GD,Y,40,60,1,1,1
CATUN,,Catalpa,spp.,Catalpa,spp.,,,,,,,,,,,,40,60,1,1,1
CEOC,common hackberry,Celtis,occidentalis,Celtis,occidentalis,1,1,1,1,0,0,0,1,GD,GD,Y,40,60,1,0,1
,,Celtis,laevigata,Celtus,laevigata,,,,,,,,,,,,40,50,1,0,1
CECA4,eastern redbud,Cercis,canadensis,Cercis,canadensis,1,0,0,1,1,0,1,1,AV,AV,Y,20,30,0,0,0
,,Cornus,alternifolia,Cornus,alternifolia,,,,,,,,,,,,30,35,0,0,0
,,Cornus,sericea,Cornus,sericea,,,,,,,,,,,,8,12,0,0,0
CRCR2,cockspur hawthorn,Crataegus,crus-galli,Crataegus,crus-galli,1,0,1,1,1,0,1,1,GD,GD,Y-H,20,30,0,1,1
,,Crataegus,spp.,Crataegus,spp.,,,,,,,,,,,,20,30,1,0,0
DIVI5,common persimmon,Diospyros,virginiana,Diospyros,virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,35,60,1,0,0
FRAM2,white ash,Fraxinus,americana,Fraxinus,americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50,80,0,0,0
FRPE,green ash,Fraxinus,pennsylvanica,Fraxinus,pennsylvanica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50,60,0,0,0
FRAXI,ash,Fraxinus,spp.,Fraxinus,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,50,80,0,0,0
GIBI2,ginkgo,Ginkgo,biloba,Ginkgo,biloba,1,1,1,1,0,0,0,1,GD,GD,N,50,80,1,0,1
GLTR,honeylocust,Gleditsia,triacanthos,Gleditsia,triacanthos,1,1,1,1,0,1,0,0,GD,GD,Y-H,30,70,0,1,1
GYDI,Kentucky coffeetree,Gymnocladus,dioicus,Gymnocladus,dioicus,1,1,1,1,0,1,0,0,GD,GD,Y-H,60,75,0,0,1
HISY,Rose-of-sharon,Hibiscus,syriacus,Hibiscus,syriacus,0,0,0,0,0,0,0,0,,,,8,12,0,0,0
JU,Juniper unknown,Juniperus,spp.,Juniperus,spp.,0,0,0,0,0,0,0,0,,,,20,50,1,1,1
JUVI,unknown plant,Juniperus,virginiana,Juniperus,virginiana,0,0,0,1,0,1,1,1,GD,GD,Y-H,40,50,1,1,1
LIST2,sweetgum,Liquidambar,styraciflua,Liquidambar,styraciflua,1,0,0,1,0,0,0,1,AV-PR,DIF,Y-H,60,75,0,0,0
LITU,yellow-poplar,Liriodendron,tulipifera,Liriodendron,tulipfera,0,0,0,1,0,0,1,1,AV-PR,DIF,Y-H,70,90,0,0,0
MAGNO,magnolia,Magnolia,spp.,Magnolia,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6,80,0,0,0
MABA,Siberian crabapple,Malus,baccata,Malus,baccata,0,0,0,1,1,0,1,1,GD,GD,N,10,25,0,0,0
,,Malus,domestica,Malus,domestica,,,,,,,,,,,,8,30,0,0,0
MAPR,plumleaf crabapple,Malus,prunifolia,Malus,prunifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,10,25,0,0,0
MALUS,crabapple and apple,Malus,spp.,Malus,unknown,0,0,0,1,1,0,1,1,GD,GD,N,10,25,0,0,0
MEGL8,dawn redwood,Metasequoia,glyptostroboides,Metasequoia,glyptostroboides,1,1,1,1,0,0,1,1,AV,AV,N,70,100,0,0,0
MOAL,white mulberry,Morus,alba,Morus,alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30,50,1,0,1
,,Morus,spp.,Morus,spp.,,,,,,,,,,,,30,50,1,0,1
NYSY,blackgum,Nyssa,silvatica,Nyssa,silvatica,0,0,0,1,0,0,1,1,AV-PR,AV,Y,30,50,0,0,0
,,Ostrya,virginiana,Ostrya,virginiana,,,,,,,,,,,,25,40,0,0,0
